timestamp,event,x,y,button,pressed,dx,dy
2024-05-28 20:18:17.283869,move,117,911,,,,
2024-05-28 20:18:17.292512,move,116,920,,,,
2024-05-28 20:18:17.300519,move,112,934,,,,
2024-05-28 20:18:17.308095,move,110,945,,,,
2024-05-28 20:18:17.314614,move,108,959,,,,
2024-05-28 20:18:17.323605,move,106,970,,,,
2024-05-28 20:18:17.330840,move,104,981,,,,
2024-05-28 20:18:17.339411,move,104,990,,,,
2024-05-28 20:18:17.347221,move,104,998,,,,
2024-05-28 20:18:17.355121,move,105,1012,,,,
2024-05-28 20:18:17.362918,move,107,1020,,,,
2024-05-28 20:18:17.371018,move,109,1029,,,,
2024-05-28 20:18:17.379719,move,110,1038,,,,
2024-05-28 20:18:17.386177,move,112,1049,,,,
2024-05-28 20:18:17.393694,move,112,1055,,,,
2024-05-28 20:18:17.402706,move,114,1061,,,,
2024-05-28 20:18:17.409989,move,114,1069,,,,
2024-05-28 20:18:17.418614,move,114,1075,,,,
2024-05-28 20:18:17.426295,move,115,1081,,,,
2024-05-28 20:18:17.434440,move,115,1087,,,,
2024-05-28 20:18:17.442573,move,117,1093,,,,
2024-05-28 20:18:17.449953,move,117,1098,,,,
2024-05-28 20:18:17.458065,move,118,1106,,,,
2024-05-28 20:18:17.465203,move,120,1110,,,,
2024-05-28 20:18:17.472728,move,120,1113,,,,
2024-05-28 20:18:17.481046,move,121,1117,,,,
2024-05-28 20:18:17.489175,move,121,1118,,,,
2024-05-28 20:18:17.496737,move,123,1121,,,,
2024-05-28 20:18:17.505046,move,124,1124,,,,
2024-05-28 20:18:17.512975,move,124,1125,,,,
2024-05-28 20:18:17.529732,move,125,1127,,,,
2024-05-28 20:18:17.536300,move,125,1128,,,,
2024-05-28 20:18:17.797531,move,125,1128,,,,
2024-05-28 20:18:17.804936,move,125,1127,,,,
2024-05-28 20:18:17.813421,move,125,1126,,,,
2024-05-28 20:18:17.820118,move,125,1124,,,,
2024-05-28 20:18:17.828638,move,125,1121,,,,
2024-05-28 20:18:17.836145,move,125,1120,,,,
2024-05-28 20:18:17.844090,move,125,1117,,,,
2024-05-28 20:18:17.852600,move,125,1116,,,,
2024-05-28 20:18:17.860610,move,125,1114,,,,
2024-05-28 20:18:17.867864,move,125,1110,,,,
2024-05-28 20:18:17.876531,move,125,1109,,,,
2024-05-28 20:18:17.883705,move,125,1106,,,,
2024-05-28 20:18:17.890688,move,125,1105,,,,
2024-05-28 20:18:17.898968,move,125,1104,,,,
2024-05-28 20:18:17.907402,move,125,1101,,,,
2024-05-28 20:18:17.915331,move,125,1100,,,,
2024-05-28 20:18:17.923120,move,125,1098,,,,
2024-05-28 20:18:17.931563,move,125,1095,,,,
2024-05-28 20:18:17.938824,move,125,1093,,,,
2024-05-28 20:18:17.946701,move,125,1090,,,,
2024-05-28 20:18:17.955529,move,125,1088,,,,
2024-05-28 20:18:17.961669,move,125,1086,,,,
2024-05-28 20:18:17.970402,move,125,1085,,,,
2024-05-28 20:18:17.978309,move,125,1083,,,,
2024-05-28 20:18:17.985984,move,125,1082,,,,
2024-05-28 20:18:17.993711,move,125,1081,,,,
2024-05-28 20:18:18.001823,move,125,1078,,,,
2024-05-28 20:18:18.010401,move,125,1076,,,,
2024-05-28 20:18:18.018322,move,125,1073,,,,
2024-05-28 20:18:18.026150,move,125,1070,,,,
2024-05-28 20:18:18.033025,move,125,1069,,,,
2024-05-28 20:18:18.041466,move,125,1068,,,,
2024-05-28 20:18:18.048995,move,125,1067,,,,
2024-05-28 20:18:18.065163,move,125,1066,,,,
2024-05-28 20:18:18.088942,move,125,1065,,,,
